Loi,Groupe,Député,Vote
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Damien Abad,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Caroline Abadie,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Damien Adam,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. David Amiel,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Pieyre-Alexandre Anglade,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Philippe Ardouin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Antoine Armand,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Quentin Bataillon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Mounir Belhamiti,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Fanta Berete,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Benoît Bordat,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Florent Boudié,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Chantal Bouloux,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Bertrand Bouyx,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Pascale Boyer,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Yaël Braun-Pivet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Maud Bregeon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Anthony Brosse,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Danielle Brulebois,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-René Cazeneuve,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Pierre Cazeneuve,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Émilie Chandler,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Yannick Chenevard,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Claire Colomb-Pitollat,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. François Cormier-Bouligeon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Laurence Cristol,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Dominique Da Silva,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Frédéric Descrozaille,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Benjamin Dirx,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Nicole Dubré-Chirat,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Dunoyer,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Emmanuel,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Fait,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Marc Ferracci,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Marie Fiévet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Frei,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Luc Fugit,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Thomas Gassilloud,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Anne Genetet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Hadrien Ghomi,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Éric Girardin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Olga Givernet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Charlotte Goetschy-Bolognese,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Guillaume Gouffier Valente,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Carles Grelier,Pour
